survey,item,variable,values,question_text,response_categories
uspew2007_prim,l_ncca4,q37,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2007_05st,l_ncca4,q47,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2007_10pol,l_ncca4,q56,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2008_vote,l_ncca4,q63,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2008_rel,l_ncca4,q26,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2008_10mid,l_ncca4,q34f2,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2009_rel,l_ncca4,q125,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2009_rel,moral3,q180a,"c(2, 3, 1)",Do you personally believe that abortion is, 1 Morally acceptable / 2 Morally wrong / 3 Not a moral issue
uspew2009_val,l_ncca4,q12f2,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2010_rel,l_ncca4,q13,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2011_typo,l_ncca4,qa62,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2011_09gen,l_ncca4,q70,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2011_11pol,l_ncca4,q71,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2012_02pol,moral3,q40c,"c(2, 3, 1)",Do you personally believe that abortion is, 1 Morally acceptable / 2 Morally wrong / 3 Not a moral issue
uspew2012_05val,l_ncca4,q19fa,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2012_07ial,l_ncca4,q5,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2012_10late,l_ncca4,q46,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2013_07pol,l_ncca4,q40,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2014_9rel,l_ncca4,q18,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2015_05mra,l_ncca4,q14,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2015_09pol,l_ncca4,q7,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2016_3pol,l_ncca4,q75,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2016_10pol,l_ncca4,q93f1,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
uspew2018_09pol,l_ncca4,q78,c(4:1),Do you think abortion should be, 1 Legal in all cases / 2 Legal in most cases / 3 Illegal in most cases / 4 Illegal in all cases
usvcu2001,l_n_an_a3,abort,c(3:1),"What do you think about abortion? Should it be legal as it is now, legal only in such cases as saving the life of the mother, rape or incest, or should it not be permitted at all?", "1 any / 2 certain / 3 none"
usvcu2002,l_n_an_a3,abort,c(3:1),"What do you think about abortion? Should it be legal as it is now, legal only in such cases as saving the life of the mother, rape or incest, or should it not be permitted at all?", "1 any / 2 certain / 3 none"
usvcu2003,l_n_an_a3,abort,c(3:1),"What do you think about abortion? Should it be legal as it is now, legal only in such cases as saving the life of the mother, rape or incest, or should it not be permitted at all?", "1 any / 2 certain / 3 none"
usvcu2004,l_n_an_a3,abort,c(3:1),"What do you think about abortion? Should it be legal as it is now, legal only in such cases as saving the life of the mother, rape or incest, or should it not be permitted at all?", "1 any / 2 certain / 3 none"
usvcu2005,l_n_an_a3,abort,c(3:1),"What do you think about abortion? Should it be legal as it is now, legal only in such cases as saving the life of the mother, rape or incest, or should it not be permitted at all?", "1 any / 2 certain / 3 none"
usvcu2006,l_n_an_a3,abort,c(3:1),"What do you think about abortion? Should it be legal as it is now, legal only in such cases as saving the life of the mother, rape or incest, or should it not be permitted at all?", "1 any / 2 certain / 3 none"
usvcu2007,l_n_an_a3,abort,c(3:1),"What do you think about abortion? Should it be legal as it is now, legal only in such cases as saving the life of the mother, rape or incest, or should it not be permitted at all?", "1 any / 2 certain / 3 none"
usvcu2008,l_n_an_a3,abort,c(3:1),"What do you think about abortion? Should it be legal as it is now, legal only in such cases as saving the life of the mother, rape or incest, or should it not be permitted at all?", "1 any / 2 certain / 3 none"
usvcu2010,l_n_an_a3,abort,c(3:1),"What do you think about abortion? Should it be legal as it is now, legal only in such cases as saving the life of the mother, rape or incest, or should it not be permitted at all?", "1 any / 2 certain / 3 none"
wvs_combo,just10,f120,c(1:10),Justifiable Abortion, 1 Never justifiable / 10 Always justifiable
wvs_combo,a_health2,a046,c(0:1),Abortion when the mothers health is at risk,0 Disapprove / 1 Approve
wvs_combo,a_defect2,a047,c(0:1),Abortion when child physically handicapped,0 Disapprove / 1 Approve
wvs_combo,a_single2,a048,c(0:1),Abortion when woman not married,0 Disapprove / 1 Approve
wvs_combo,a_nomore2,a049,c(0:1),Abortion if not wanting more children,0 Disapprove / 1 Approve
